web-scraper-order,web-scraper-start-url,authors,authors-href,author_name,article_link,number_posts,bio
"1635900573-2047","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/lars-bronworth/","https://quillette.com/author/lars-bronworth/","Lars Brownworth","","1 Post","Lars Brownworth is the author of Lost to the West: The Forgotten Byzantine Empire That Rescued Western Civilization."
"1635890719-1376","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/brian-eaton/","https://quillette.com/author/brian-eaton/","Brian Eaton","","1 Post","Brian Eaton is a resident in Hong Kong."
"1635889322-1200","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/gideon-scopes/","https://quillette.com/author/gideon-scopes/","Gideon Scopes","","11 Posts","The author is a software engineer. Gideon Scopes is a pseudonym. Given the current climate surrounding political expression in the technology industry, his real name has been withheld."
"1635894383-1762","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/william-j-malone-colin-m-wright-and-julia-d-robert/","https://quillette.com/author/william-j-malone-colin-m-wright-and-julia-d-robert/","William J. Malone, Colin M. Wright, and Julia D. Robertson","","1 Post","null"
"1635894436-1768","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/ed-clint/","https://quillette.com/author/ed-clint/","Edward Clint","","","Edward Clint is an evolutionary psychologist, writer, and co-creator of Skeptic Ink. You can follow him on Twitter @eclint"
"1635894400-1764","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/william-ray/","https://quillette.com/author/william-ray/","William Ray","","1 Post","null"
"1635894270-1749","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/dirk-auer/","https://quillette.com/author/dirk-auer/","Dirk Auer","","","Dirk Auer is a senior fellow at the International Centre for Law and Economics"
"1635889066-1162","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/craig-bielert-and-david-c-geary/","https://quillette.com/author/craig-bielert-and-david-c-geary/","Craig Bielert and David C Geary","","1 Post","Craig Bielert is a psychoneuroendocrinologist and Professor of Psychology and Adjunct Professor of Anthropology at SUNY Oneonta.

David C. Geary studies sex differences and is a Curators’ Disting"
"1635891669-1490","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/paul-ralph/","https://quillette.com/author/paul-ralph/","Paul Ralph","","1 Post","Paul Ralph, is a lecturer in Computer Science at the University of Auckland."
"1635892647-1594","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/samantha-rea/","https://quillette.com/author/samantha-rea/","Samantha Rea","","1 Post","null"
"1635898983-2001","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/vincent-harinam/","https://quillette.com/author/vincent-harinam/","Vincent Harinam","","","Vincent Harinam is a data scientist and law enforcement consultant."
"1635894006-1718","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/vijai-maheshwari/","https://quillette.com/author/vijai-maheshwari/","Vijai Maheshwari","","1 Post","null"
"1635891232-1438","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/n-p-ingram/","https://quillette.com/author/n-p-ingram/","N.P. Ingram","","1 Post","null"
"1635892869-1614","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/scott-newgent/","https://quillette.com/author/scott-newgent/","Scott Newgent","","1 Post","null"
"1635888242-1078","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/arthur-cook/","https://quillette.com/author/arthur-cook/","Arthur Cook","","1 Post","null"
"1635893561-1672","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/teresa-gimenez-barbat/","https://quillette.com/author/teresa-gimenez-barbat/","Teresa Gimenez Barbat","","1 Post","null"
"1635898963-1998","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/josh-dehaas/","https://quillette.com/author/josh-dehaas/","Josh Dehaas","","","Josh Dehaas is a writer at the Canadian Constitution Foundation. He tweets at @JoshDehaas."
"1635900632-2056","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/lexa-frankl/","https://quillette.com/author/lexa-frankl/","Lexa Frankl","","1 Post","The author is a therapist residing in the mountains of East Tennessee. She can be found on twitter here. Lexa Frankl is a pseudonym."
"1635894392-1763","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/william-murray/","https://quillette.com/author/william-murray/","William Murray","","1 Post","null"
"1635890604-1361","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/bradford-h-b/","https://quillette.com/author/bradford-h-b/","Bradford H.B.","","1 Post","Bradford H. B. is an American writer and business owner."
"1635890928-1401","https://quillette.com/sitemap-authors.xml","https://quillette.com/author/dan-delmar/","https://quillette.com/author/dan-delmar/","Dan Delmar","","1 Post","Dan Delmar is a Montreal-based political commentator. His firm TNKR Media produces the Quillette-sponsored Wrongspeak podcast."
